scenario_id,block_id,ticker,company_name,gics_sector,event_date,event_time,num_articles,event_type
B1_S01,1,LIN,Linde,Materials,2025-07-31,10:00,1,earnings
B1_S02,1,APD,Air Products and Chemicals,Materials,2025-02-06,09:30,1,earnings
B1_S03,1,HD,Home Depot,Consumer Discretionary,2025-11-18,11:00,1,earnings
B1_S04,1,AMT,American Tower Corp.,Real Estate,2025-04-03,09:30,1,earnings
B1_S05,1,XOM,ExxonMobil,Energy,2026-01-29,09:30,1,earnings
B1_S06,1,PFE,Pfizer Inc.,Health Care,2025-10-01,11:00,1,earnings
B1_S07,1,VZ,Verizon,Communication Services,2025-11-03,10:30,1,management
B1_S08,1,LOW,Lowe's Companies,Consumer Discretionary,2025-11-18,09:30,1,earnings
B1_S09,1,QCOM,Qualcomm Inc.,Information Technology,2025-10-13,09:30,1,management
B1_S10,1,TMUS,T-Mobile US,Communication Services,2026-01-30,09:30,1,earnings
B1_S11,1,CAT,Caterpillar Inc.,Industrials,2025-10-29,09:30,1,earnings
B1_S12,1,WMT,Walmart,Consumer Staples,2025-11-20,09:30,1,earnings
B2_S01,2,SHW,Sherwin-Williams,Materials,2025-04-22,09:30,1,analyst
B2_S02,2,JPM,JPMorgan Chase,Financials,2026-01-23,09:30,1,analyst
B2_S03,2,BAC,Bank of America,Financials,2025-09-05,09:30,1,earnings
B2_S04,2,PG,Procter & Gamble,Consumer Staples,2025-01-22,10:30,1,earnings
B2_S05,2,MRK,Merck & Co.,Health Care,2025-09-30,10:00,1,earnings
B2_S06,2,NFLX,Netflix,Communication Services,2026-02-04,10:00,1,management
B2_S07,2,T,AT&T,Communication Services,2025-04-04,11:00,1,management
B2_S08,2,KO,Coca-Cola Company,Consumer Staples,2025-07-29,09:30,1,management
B2_S09,2,PLD,Prologis,Real Estate,2025-03-13,09:30,1,management
B2_S10,2,DIS,Walt Disney Company,Consumer Discretionary,2025-11-13,10:30,1,earnings
B2_S11,2,UNH,UnitedHealth Group,Health Care,2026-01-27,10:00,1,earnings
B2_S12,2,CVX,Chevron Corporation,Energy,2026-01-05,09:30,1,regulatory
B3_S01,3,ORCL,Oracle Corporation,Information Technology,2026-01-29,15:30,1,earnings
B3_S02,3,COP,ConocoPhillips,Energy,2026-02-04,09:30,1,earnings
B3_S03,3,GS,Goldman Sachs,Financials,2025-12-19,09:30,1,analyst
B3_S04,3,V,Visa,Financials,2025-07-11,09:30,1,earnings
B3_S05,3,JNJ,Johnson & Johnson,Health Care,2026-01-20,09:30,1,earnings
B3_S06,3,SO,Southern Company,Utilities,2025-11-03,12:30,1,earnings
B3_S07,3,GE,GE Aerospace,Industrials,2025-07-08,10:00,1,management
B3_S08,3,NEE,NextEra Energy,Utilities,2025-12-08,09:30,1,earnings
B3_S09,3,COST,Costco,Consumer Staples,2026-01-08,10:00,1,earnings
B3_S10,3,HON,Honeywell International,Industrials,2025-07-24,09:30,1,earnings
B3_S11,3,AMAT,Applied Materials,Information Technology,2025-08-15,09:30,1,analyst
